GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parte1,ies.puerto,Ejercicio6,4,40,0,0,1,10,0,2,0,2
parte1,ies.puerto,Ejercicio5,2,17,1,1,1,4,1,2,0,2
parte1,ies.puerto,Ejercicio4,0,21,0,2,0,8,0,3,0,2
parte1,ies.puerto,Ejercicio3,0,22,0,2,0,5,0,3,0,2
parte1,ies.puerto,Ejercicio2,42,0,8,0,13,0,6,0,2,0
parte1,ies.puerto,Ejercicio1,0,51,0,12,0,15,0,9,0,3
parte1,ies.puerto,Ejercicio7,0,21,0,2,0,8,0,3,0,2
